estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
394,20,32,"(1024, 1025)","(16, 16)",32832,0.4192382845454546,15.241922709964681,L3_BW
395,20,32,"(1024, 1025)","(32, 1)",32800,0.4193248590909091,15.238775835883978,L3_BW
396,20,32,"(1024, 1025)","(32, 2)",32800,0.4193248590909091,15.238775835883978,L3_BW
397,20,32,"(1024, 1025)","(32, 4)",32800,0.4193248590909091,15.238775835883978,L3_BW
398,20,32,"(1024, 1025)","(32, 8)",32800,0.4193248590909091,15.238775835883978,L3_BW
399,20,32,"(1024, 1025)","(64, 1)",32800,0.4193248590909091,15.238775835883978,L3_BW
400,20,32,"(1024, 1025)","(64, 2)",32800,0.4193248590909091,15.238775835883978,L3_BW
401,20,32,"(1024, 1025)","(64, 4)",32800,0.4193248590909091,15.238775835883978,L3_BW
402,20,32,"(1024, 1025)","(128, 1)",32800,0.4193248590909091,15.238775835883978,L3_BW
403,20,32,"(1024, 1025)","(128, 2)",32800,0.4193248590909091,15.238775835883978,L3_BW
404,20,32,"(1024, 1025)","(256, 1)",32800,0.4193248590909091,15.238775835883978,L3_BW
405,20,8,"(1024,)","(8,)",128,1.2722842772727272,5.022460502143137,"Latencies, L3_BW"
406,20,8,"(1024, 1025)","(1, 8)",132096,0.5857332372727273,10.909398892664697,L3_BW
407,20,8,"(1024,)","(16,)",128,1.2722842772727272,5.022460502143137,"Latencies, L3_BW"
408,20,8,"(1024, 1025)","(1, 16)",132096,0.5857332372727273,10.909398892664697,L3_BW
409,20,8,"(1024,)","(32,)",128,1.2722842772727272,5.022460502143137,"Latencies, L3_BW"
410,20,8,"(1024, 1025)","(1, 32)",132096,0.5857332372727273,10.909398892664697,L3_BW
411,20,8,"(1024,)","(64,)",128,1.2722842772727272,5.022460502143137,"Latencies, L3_BW"
412,20,8,"(1024, 1025)","(1, 64)",132096,0.5857332372727273,10.909398892664697,L3_BW
413,20,8,"(1024,)","(128,)",128,1.2722842772727272,5.022460502143137,"Latencies, L3_BW"
414,20,8,"(1024, 1025)","(1, 128)",132096,0.5857332372727273,10.909398892664697,L3_BW
415,20,8,"(1024,)","(256,)",128,1.2722842772727272,5.022460502143137,"Latencies, L3_BW"
416,20,8,"(1024, 1025)","(1, 256)",132096,0.5857332372727273,10.909398892664697,L3_BW
417,20,8,"(1024, 1025)","(2, 4)",131584,0.5859408300000001,10.905533806374269,L3_BW
418,20,8,"(1024, 1025)","(2, 8)",131584,0.5859408300000001,10.905533806374269,L3_BW
419,20,8,"(1024, 1025)","(2, 16)",131584,0.5859408300000001,10.905533806374269,L3_BW
420,20,8,"(1024, 1025)","(2, 32)",131584,0.5859408300000001,10.905533806374269,L3_BW
421,20,8,"(1024, 1025)","(2, 64)",131584,0.5859408300000001,10.905533806374269,L3_BW
422,20,8,"(1024, 1025)","(2, 128)",131584,0.5859408300000001,10.905533806374269,L3_BW
423,20,8,"(1024, 1025)","(4, 2)",131328,0.5863737027272727,10.897483124464127,L3_BW
424,20,8,"(1024, 1025)","(4, 4)",131328,0.5863737027272727,10.897483124464127,L3_BW
425,20,8,"(1024, 1025)","(4, 8)",131328,0.5863737027272727,10.897483124464127,L3_BW
426,20,8,"(1024, 1025)","(4, 16)",131328,0.5863737027272727,10.897483124464127,L3_BW
427,20,8,"(1024, 1025)","(4, 32)",131328,0.5863737027272727,10.897483124464127,L3_BW
428,20,8,"(1024, 1025)","(4, 64)",131328,0.5863737027272727,10.897483124464127,L3_BW
429,20,8,"(1024, 1025)","(8, 1)",131200,0.5857332372727273,10.909398892664697,L3_BW
430,20,8,"(1024, 1025)","(8, 2)",131200,0.5857332372727273,10.909398892664697,L3_BW
